time,open,high,low,close,tickvol,vol
2020.09.18 09:00:00,5254.5,5257.0,5245.5,5256.0,40712,105858
2020.09.18 09:15:00,5256.0,5264.5,5255.5,5264.0,39480,109540
2020.09.18 09:30:00,5263.5,5272.0,5261.5,5262.5,50416,137401
2020.09.18 09:45:00,5263.0,5270.5,5259.0,5260.0,41539,108987
2020.09.18 10:00:00,5260.0,5271.5,5259.5,5270.5,42739,125367
2020.09.18 10:15:00,5270.5,5279.0,5269.5,5278.5,43182,127879
2020.09.18 10:30:00,5279.0,5288.5,5276.0,5285.5,44500,145638
2020.09.18 10:45:00,5286.0,5293.0,5285.0,5286.5,34759,118829
2020.09.18 11:00:00,5286.5,5292.0,5282.5,5291.0,32766,115007
2020.09.18 11:15:00,5290.5,5298.5,5286.0,5296.5,29875,94283
2020.09.18 11:30:00,5297.0,5303.0,5296.0,5297.0,32970,111302
2020.09.18 11:45:00,5297.5,5301.5,5292.5,5293.5,24853,94443
2020.09.18 12:00:00,5293.5,5298.5,5290.5,5292.0,27228,96112
2020.09.18 12:15:00,5292.5,5297.0,5291.5,5295.5,12930,42231
2020.09.18 12:30:00,5296.0,5314.5,5295.5,5309.5,29162,95010
2020.09.18 12:45:00,5310.0,5310.0,5304.0,5306.0,16567,56669
2020.09.18 13:00:00,5306.0,5321.5,5304.0,5318.0,28834,109387
2020.09.18 13:15:00,5318.0,5324.5,5314.0,5318.5,25374,88204
2020.09.18 13:30:00,5319.0,5323.5,5318.0,5319.0,12104,44760
2020.09.18 13:45:00,5318.5,5331.5,5317.0,5331.5,25285,95467
2020.09.18 14:00:00,5331.5,5339.5,5330.0,5332.0,28234,109577
2020.09.18 14:15:00,5332.0,5351.5,5332.0,5351.0,33380,127954
2020.09.18 14:30:00,5351.5,5366.0,5351.0,5365.0,43063,179261
2020.09.18 14:45:00,5365.0,5369.0,5352.5,5355.0,29377,115374
2020.09.18 15:00:00,5355.0,5361.0,5344.5,5346.5,33429,123334
2020.09.18 15:15:00,5346.5,5352.0,5343.0,5346.0,20275,74343
2020.09.18 15:30:00,5346.5,5351.0,5341.5,5349.5,19026,64467
2020.09.18 15:45:00,5350.0,5366.0,5349.0,5359.0,33124,119850
2020.09.18 16:00:00,5359.0,5367.5,5354.5,5365.5,22960,83059
2020.09.18 16:15:00,5365.5,5375.5,5364.0,5369.0,25854,96166
2020.09.18 16:30:00,5369.0,5374.5,5368.0,5373.5,12343,43393
2020.09.18 16:45:00,5373.0,5378.5,5369.5,5378.0,16815,61389
2020.09.18 17:00:00,5378.0,5381.5,5375.0,5377.0,14514,55455
2020.09.18 17:15:00,5377.0,5388.5,5372.0,5386.5,15854,56257
2020.09.18 17:30:00,5386.0,5396.0,5386.0,5393.0,11954,42749
2020.09.18 17:45:00,5393.0,5401.0,5388.5,5391.5,8754,42399
2020.09.21 09:00:00,5452.0,5462.0,5437.0,5451.5,74814,224504
2020.09.21 09:15:00,5452.0,5466.0,5443.5,5461.5,58807,167312
2020.09.21 09:30:00,5462.0,5497.0,5461.0,5496.0,69021,207939
2020.09.21 09:45:00,5496.0,5498.5,5457.5,5459.0,76784,230371
2020.09.21 10:00:00,5459.0,5460.0,5432.5,5438.0,81537,242811
2020.09.21 10:15:00,5438.5,5455.5,5434.0,5440.5,54066,143645
2020.09.21 10:30:00,5440.5,5455.0,5434.5,5437.0,68326,210340
2020.09.21 10:45:00,5437.0,5446.0,5422.0,5430.5,65446,189412
2020.09.21 11:00:00,5430.0,5445.0,5427.5,5432.5,43099,130511
2020.09.21 11:15:00,5432.5,5463.0,5430.0,5457.5,50466,147399
2020.09.21 11:30:00,5457.5,5481.5,5457.5,5470.0,56475,166590
2020.09.21 11:45:00,5469.5,5473.0,5456.0,5462.0,43173,131846
2020.09.21 12:00:00,5462.0,5464.5,5450.0,5456.0,33525,107075
2020.09.21 12:15:00,5456.0,5458.5,5438.0,5444.0,30791,92335
2020.09.21 12:30:00,5443.5,5449.0,5441.5,5446.5,17161,55686
2020.09.21 12:45:00,5446.5,5448.0,5438.5,5441.5,14516,43948
2020.09.21 13:00:00,5441.5,5442.5,5425.0,5431.0,29757,98961
2020.09.21 13:15:00,5431.0,5437.5,5426.0,5428.0,21207,62998
2020.09.21 13:30:00,5427.5,5432.5,5414.5,5420.0,33443,105406
2020.09.21 13:45:00,5420.0,5426.0,5418.0,5421.0,18425,56302
2020.09.21 14:00:00,5421.5,5422.5,5408.5,5408.5,29013,89568
2020.09.21 14:15:00,5408.5,5411.0,5402.0,5405.5,29893,95242
2020.09.21 14:30:00,5405.5,5407.5,5397.5,5403.0,29724,96213
2020.09.21 14:45:00,5402.5,5404.5,5389.5,5395.0,32712,105970
2020.09.21 15:00:00,5395.5,5405.5,5389.0,5399.0,36662,115012
2020.09.21 15:15:00,5399.0,5402.0,5393.5,5399.5,18112,61875
2020.09.21 15:30:00,5400.0,5410.5,5399.0,5404.5,22787,76768
2020.09.21 15:45:00,5404.5,5411.5,5400.5,5406.5,22552,73132
2020.09.21 16:00:00,5406.5,5411.0,5395.0,5402.5,31173,100937
2020.09.21 16:15:00,5402.5,5405.0,5399.5,5405.0,13011,45778
