time,open,high,low,close,tickvol,vol
2020-09-18,100100.0,100155.0,97960.0,98090.0,3444965,13070714
2020-09-21,96720.0,97370.0,95820.0,96940.0,3758923,12982175
2020-09-22,96940.0,97775.0,96405.0,96975.0,3653035,12864327
2020-09-23,97500.0,97520.0,95505.0,95610.0,3693862,13512364
2020-09-24,95400.0,98080.0,95300.0,96980.0,3703403,13338037
2020-09-25,96505.0,97175.0,95550.0,97085.0,3118425,11995061
2020-09-28,98300.0,98450.0,94310.0,94500.0,3839834,14496537
2020-09-29,94615.0,95520.0,93220.0,93465.0,4169633,15215260
2020-09-30,93400.0,95390.0,93140.0,95075.0,4154519,14268133
2020-10-01,95370.0,95590.0,93535.0,95235.0,3916810,14100740
2020-10-02,94500.0,96040.0,93120.0,93300.0,3856708,13462384
2020-10-05,94155.0,96465.0,93660.0,95900.0,3603367,13163911
2020-10-06,96725.0,97480.0,95125.0,95505.0,4286645,15652572
2020-10-07,96240.0,96435.0,94760.0,95790.0,3845300,14551857
2020-10-08,96175.0,98070.0,95535.0,97655.0,3464152,12557217
2020-10-09,97905.0,98700.0,97095.0,97650.0,3354789,12396444
2020-10-13,98180.0,99050.0,97210.0,98080.0,3676826,14624362
2020-10-14,98190.0,99875.0,98140.0,99250.0,3012643,11129371
2020-10-15,98175.0,99730.0,97910.0,99045.0,3288870,12417596
2020-10-16,99340.0,99435.0,98280.0,98700.0,3217702,12868460
2020-10-19,99150.0,100170.0,98570.0,98940.0,3198349,12871106
2020-10-20,99200.0,100970.0,99120.0,100930.0,3235193,12894011
2020-10-21,100500.0,101875.0,100280.0,100710.0,3483719,13984226
2020-10-22,100660.0,102445.0,100565.0,102375.0,3169021,13174251
2020-10-23,102420.0,102480.0,101275.0,101630.0,2869736,12074176
2020-10-26,100845.0,101970.0,99940.0,101355.0,3130626,13575104
2020-10-27,101890.0,101940.0,98770.0,98850.0,3177162,12470220
2020-10-28,98300.0,98375.0,95130.0,95130.0,4143274,16471130
2020-10-29,95235.0,96895.0,93555.0,95765.0,4586813,17784945
2020-10-30,95505.0,96340.0,93630.0,94535.0,4771380,17825593
2020-11-03,96090.0,96535.0,95135.0,95750.0,4405259,16007251
2020-11-04,96155.0,98470.0,96155.0,98390.0,4271257,16273585
2020-11-05,99285.0,101120.0,99150.0,101080.0,4169057,15976317
2020-11-06,100395.0,101275.0,99990.0,101035.0,3698407,14223785
2020-11-09,104115.0,105355.0,103250.0,103250.0,4512687,16686153
2020-11-10,103500.0,105940.0,103390.0,104885.0,4371308,17467421
2020-11-11,105410.0,105565.0,104245.0,105135.0,4025130,15927925
2020-11-12,104855.0,105250.0,102145.0,102900.0,3980601,15102999
2020-11-13,103355.0,105200.0,103075.0,104975.0,3634548,14047440
2020-11-16,106250.0,106880.0,105275.0,106880.0,3828797,14655239
2020-11-17,106250.0,107935.0,105915.0,107500.0,3781737,14492404
2020-11-18,107885.0,107920.0,105900.0,105900.0,4023430,15901131
2020-11-19,105850.0,107140.0,105580.0,106550.0,3907564,14582747
2020-11-20,106845.0,107115.0,105705.0,106200.0,3373879,12738554
2020-11-23,106935.0,107610.0,106630.0,107450.0,3553818,13654999
2020-11-24,108115.0,110325.0,107575.0,110190.0,3285602,12818233
2020-11-25,109550.0,110715.0,109300.0,110060.0,3657891,13948643
2020-11-26,109915.0,110400.0,109405.0,110325.0,2310428,8054585
2020-11-27,110485.0,111680.0,110325.0,110390.0,2653317,10062586
2020-11-30,110075.0,111065.0,108830.0,109495.0,3533489,13060290
